v1	V(n001)	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	2.036700e-05	2.036700e-08
2.000000000000000e-01	2.000000e-01	2.045893e-04	2.045907e-07
3.000000000000000e-01	3.000000e-01	1.812759e-03	1.813641e-06
4.000000000000000e-01	4.000000e-01	1.291261e-02	1.291275e-05
5.000000000000000e-01	5.000000e-01	5.081588e-02	5.081596e-05
6.000000000000000e-01	6.000000e-01	1.141192e-01	1.141195e-04
7.000000000000000e-01	7.000000e-01	1.907674e-01	1.907880e-04
7.999999999999999e-01	8.000000e-01	2.742884e-01	2.742902e-04
8.999999999999999e-01	9.000000e-01	3.615585e-01	3.617043e-04
9.999999999999999e-01	1.000000e+00	4.515197e-01	4.515953e-04
1.100000000000000e+00	1.100000e+00	5.431470e-01	5.431760e-04
1.200000000000000e+00	1.200000e+00	6.359611e-01	6.359759e-04
1.300000000000000e+00	1.300000e+00	7.296848e-01	7.296934e-04
1.400000000000000e+00	1.400000e+00	8.241197e-01	8.241251e-04
1.500000000000000e+00	1.500000e+00	9.191236e-01	9.191271e-04
